review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,AR_H_COMMIT_TIMESTAMP,OP
28b0d80498bb734d625b3ff34f42d331,032d90128bd4c1c63e317ab45ddc2879,5,,,2018-08-09,2018-08-12 16:38:30,2018-08-09,I
a646310c7744d4247ad89797a981421d,80967070f5cc6d8bbe062cda5b15d84d,5,,Veio para crianças maior de 3 meses e meu bb tem um mês ,2018-08-09,2018-08-10 17:40:04,2018-08-09,I
6e47be61ba0c7c23dcbbeb93b36c4d39,e5db7bda2b901c39641219e0b0112e5a,4,Muito bom,Entregue dentro do prazo e inteiro ,2018-08-09,2018-08-10 19:50:32,2018-08-09,I
c76b99daaae67484f0f44b412fc202de,a4696d525de3823f56b75195dce92da5,5,,,2018-08-09,2018-08-14 14:08:47,2018-08-09,I
3d547106e52864f3948cb02f57b1b5fc,efa2e42246bfe580af1b33ae96edc78b,5,Exelente,"Já uso esta pastilha à algum tempo, ótimo produto.",2018-08-09,2018-08-10 11:08:41,2018-08-09,I
aea60b99e708feb6b28c7c3396f1a976,83473068577d922cfe5ce5b7f409519d,5,,,2018-08-09,2018-08-10 03:03:48,2018-08-09,I
e45871266a762417459d9ec30c460222,48d4e2ea1003c1efbdc8c3cd4e0af69e,5,,,2018-08-09,2018-08-13 22:07:57,2018-08-09,I
4a14869e35470cd9d206f398e68e28cb,3912b0f176edb52c40f760e27d055456,3,,,2018-08-09,2018-08-09 23:36:35,2018-08-09,I
d795e67dd5391596ebc2934494fef2a4,30d7af26cb5f8577b5c6a0164dc814c5,1,,,2018-08-09,2018-08-09 15:46:58,2018-08-09,I
a7ff73bc13eef2736b95d913a11b6f48,a29c25c2c9c3100daf48a25880312c23,1,Insatisfação ,Meu produto veio faltando com 5 quantidades e apenas recebi 4 e ninguém me atende no sac ou me da alguma satisfação ,2018-08-09,2018-08-09 23:08:15,2018-08-09,I
