order_id,payment_sequential,payment_type,payment_installments,payment_value,AR_H_COMMIT_TIMESTAMP,OP
b81ef226f3fe1789b1e8b2acac839d17,1,credit_card,8,99.33,2018-04-25 22:01:49,I
a9810da82917af2d9aefd1278f1dcfa0,1,credit_card,1,24.39,2018-06-26 11:01:38,I
25e8ea4e93396b6fa0d3dd708e76c1bd,1,credit_card,1,65.71,2017-12-12 11:19:55,I
ba78997921bbcdc1373bb41e913ab953,1,credit_card,8,107.78,2017-12-06 12:04:06,I
42fdf880ba16b47b59251dd489d4441a,1,credit_card,2,128.45,2018-05-21 13:59:17,I
298fcdf1f73eb413e4d26d01b25bc1cd,1,credit_card,2,96.12,2018-05-07 13:20:41,I
771ee386b001f06208a7419e4fc1bbd7,1,credit_card,1,81.16,2017-06-23 13:11:27,I
3d7239c394a212faae122962df514ac7,1,credit_card,3,51.84,2017-06-05 10:45:54,I
1f78449c87a54faf9e96e88ba1491fa9,1,credit_card,6,341.09,2018-07-22 14:07:35,I
0573b5e23cbd798006520e1d5b4c6714,1,boleto,1,51.95,2017-07-04 20:32:10,I
d88e0d5fa41661ce03cf6cf336527646,1,credit_card,8,188.73,2017-11-28 15:53:29,I
2480f727e869fdeb397244a21b721b67,1,credit_card,1,141.9,2017-12-13 18:51:45,I
616105c9352a9668c38303ad44e056cd,1,credit_card,1,75.78,2018-06-11 16:19:00,I
cf95215a722f3ebf29e6bbab87a29e61,1,credit_card,5,102.66,2017-08-25 17:14:15,I
769214176682788a92801d8907fa1b40,1,credit_card,4,105.28,2017-06-29 21:26:38,I
12e5cfe0e4716b59afb0e0f4a3bd6570,1,credit_card,10,157.45,2018-03-22 09:46:07,I
79da3f5fe31ad1e454f06f95dc032ad5,1,credit_card,1,98.94,2018-06-05 17:00:04,I
8ac09207f415d55acff302df7d6a895c,1,credit_card,4,244.15,2018-01-29 14:50:01,I
b2349a3f20dfbeef62e7b31baa22f84b,1,credit_card,3,136.71,2018-05-08 14:53:17,I
5a1f6d22f7dfb061ef29216b9af687a1,1,credit_card,4,47.69,2017-09-01 23:13:57,I
4214cda550ece8ee66441f459dc33a8c,1,credit_card,2,170.57,2017-03-21 17:39:19,I
adfbf6c2a620196f9a3ec747491c72b7,1,credit_card,4,67.5,2018-01-29 19:54:35,I
8cd68144cdb62dc0d60848cf8616d2a4,1,boleto,1,330.66,2017-08-04 10:08:27,I
5cfd514482e22bc992e7693f0e3e8df7,2,voucher,1,45.17,2017-10-13 17:19:17,I
d0a945f85ba1074b60aac97ade7e240e,1,credit_card,2,541.0,2018-04-30 20:24:53,I
c39414c195d0f94c9d9c35e7c6ed4f1a,1,credit_card,2,139.22,2018-08-01 11:57:29,I
5d9c5817e278892b7498d90bfa28ade8,1,credit_card,2,290.16,2018-04-26 08:13:54,I
b69b9260e79a0da00e15f48de1bd2524,1,boleto,1,283.34,2017-05-31 16:27:58,I
f45074ae38f2e01d9b854ec8d40362ff,1,credit_card,1,13.78,2017-08-20 15:36:25,I
81cedc4d2132eb6f512354166e51b187,1,credit_card,1,30.28,2018-07-30 21:02:01,I
595f598849d89203c28d05d0fbf3f92e,1,credit_card,1,26.58,2017-09-25 16:38:46,I
f9d0ec2fa088ac583e1ccd15b6686073,1,credit_card,1,89.68,2017-02-28 15:19:04,I
e647bf617de735448a4ba54f8910393c,1,credit_card,1,65.09,2017-08-29 13:39:40,I
b2bb080b6bc860118a246fd9b6fad6da,1,credit_card,1,173.84,2017-07-31 23:55:27,I
23f10f509600c30cf2852f9dbdf28fc3,1,credit_card,1,103.49,2018-05-09 10:36:28,I
f86f6472fa9f395d8d9a6751ca118afb,1,credit_card,1,64.03,2018-04-19 09:55:30,I
1dcf0c8cd36ffaf57784fbdc90079310,1,credit_card,3,157.15,2018-04-19 21:16:39,I
00d8d65b666158b633f96054d31af43b,1,boleto,1,130.88,2017-10-13 19:57:48,I
cf30fe76d1505192acee1c6dccb15545,1,credit_card,2,47.72,2017-10-10 14:04:45,I
d3e774a185c0b1b2286ffd6c70abe2e6,1,credit_card,8,117.74,2018-05-04 14:59:32,I
32b1d8f3789a57f1f752e20ac7404b4c,1,boleto,1,56.6,2018-07-29 21:51:09,I
c10d412026c4077b8e83acf0fea04eee,1,credit_card,1,266.16,2017-09-12 21:39:28,I
56c3277583e16009c925fdf116df420f,1,boleto,1,31.38,2017-11-29 19:13:45,I
0e0441786430b7cfcd0d91f822ea4c99,1,credit_card,1,121.49,2018-02-16 16:58:34,I
6ffb3f1686bceae3466facf7e02ce3fb,1,credit_card,1,32.0,2018-01-23 20:15:12,I
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41,2017-11-10 16:27:32,I
c0db7d31ace61fc360a3eaa34dd3457c,1,credit_card,5,65.71,2018-02-13 16:36:56,I
d574338f566ca28dd67820f48ec1f1d8,1,credit_card,4,278.22,2017-12-12 21:22:07,I
1807cc736321f14baa58ef39cf6e5989,1,credit_card,4,91.66,2017-08-17 22:43:15,I
e8977f709bbb0367f51b589e6325f991,1,credit_card,1,132.51,2017-11-13 21:37:15,I
2e2c60b99754ae1e4d8b18846cfec9f2,1,credit_card,4,542.66,2018-04-22 20:13:45,I
1ffb3c1929b16d9c1aec1958e11b3e9b,1,boleto,1,166.04,2018-06-30 13:37:47,I
95442deb81a5d91c97c0df96b431634a,1,boleto,1,368.98,2018-07-19 11:54:25,I
10af96a0689260134307879127ac1952,1,credit_card,2,113.2,2018-04-12 17:44:55,I
85eef2d342b0de363c45c1bc324729c5,1,credit_card,3,99.43,2018-05-04 12:41:25,I
343348b1e29e9fa9e7b6ab1027f9177d,1,credit_card,4,43.77,2017-02-21 17:11:24,I
ad4098a257676ea4d394fb3bbbf36ca3,1,credit_card,2,68.49,2018-02-26 09:55:52,I
3e0c3cab458e8b3cc8d1d38ecb7e7775,1,credit_card,2,105.53,2018-07-29 10:08:22,I
3ab4eea6776259ae8dfbabaeffece352,1,credit_card,8,387.8,2017-01-16 21:08:25,I
10d9871bed9fb8d0887d3b9022edd1ff,1,boleto,1,84.14,2017-07-18 16:17:23,I
c108072ab31ec90a754129c171577f5f,1,credit_card,4,210.82,2017-10-16 21:13:03,I
fc662bafa52d2ef16078f6f6141009d6,1,boleto,1,90.05,2018-02-01 07:44:28,I
4217849b1ff18a9270fe048eabc4dc45,1,credit_card,1,67.88,2018-05-02 09:59:31,I
55e2d723733c45033e71cb4d44690234,1,boleto,1,89.63,2017-10-13 07:17:42,I
60e43c5f5ba559d9dd19357ed72cb2f2,1,credit_card,2,78.3,2018-04-19 19:03:33,I
e3e9e3295f4e1512167c232a0aaae8a5,1,voucher,1,50.8,2017-02-25 00:02:22,I
460d57443ffdcaeba240360239747cf7,1,credit_card,1,34.0,2017-09-03 20:33:37,I
4cb51127f19f7254b320efe1718477dd,1,boleto,1,77.1,2017-11-15 20:58:24,I
110d9355d6338eab0a65a0cacdde5434,1,credit_card,5,566.4,2018-07-24 21:30:17,I
42f5954cda381bd032934ee38c453711,1,credit_card,8,402.42,2017-09-21 14:14:40,I
3689194c14ad4e2e7361ebd1df0e77b0,2,voucher,1,57.53,2017-10-18 16:01:53,I
97c111c4f22dfa1089a9c0b5338dcc79,1,credit_card,3,44.01,2017-06-07 13:16:14,I
4b2d035932915aa9c2a0d4d84cd6d3b0,1,credit_card,3,187.51,2018-01-31 19:07:26,I
e1b4ee0e390fbac1dec439d72b45a115,1,credit_card,3,77.7,2017-07-21 19:32:03,I
fee72a68ce935ebf2939fe72f27d3d9b,1,credit_card,1,48.68,2018-02-16 13:30:10,I
4d3bfdf4c7d6578ea445d588371ae10e,1,credit_card,1,77.29,2018-03-25 18:27:34,I
