product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,AR_H_COMMIT_TIMESTAMP,OP
da2a3bd205509eae7afd98d242983092,eletronicos,52.0,721.0,1.0,340.0,33.0,14.0,17.0,2018-08-08 06:28:21,I
24bc2932a12c983f8e76d828b65cf39b,beleza_saude,12.0,2411.0,1.0,380.0,17.0,11.0,13.0,2018-08-08 07:11:24,I
8f2fb4fbf4005e8763fc99f57dabb236,informatica_acessorios,34.0,561.0,1.0,250.0,16.0,7.0,16.0,2018-08-08 08:00:57,I
7e8067e7e5ce7aec0e2cb7c1a456d112,automotivo,44.0,396.0,4.0,350.0,16.0,15.0,16.0,2018-08-08 08:18:03,I
3e6de3159fd57b7d7e62c584a3c9fc70,eletrodomesticos,56.0,686.0,7.0,350.0,26.0,20.0,19.0,2018-08-08 08:20:20,I
b5f2e8a3a5468c998e821b0cc15ca5c3,telefonia,60.0,757.0,2.0,225.0,16.0,19.0,18.0,2018-08-08 08:40:03,I
148c9e8af97e807544e4487f137ad65e,construcao_ferramentas_construcao,41.0,202.0,1.0,2200.0,30.0,20.0,25.0,2018-08-08 08:45:33,I
2d489652c89700752b4a86973f9ec8d0,beleza_saude,55.0,1454.0,1.0,1206.0,21.0,13.0,17.0,2018-08-08 09:00:50,I
5fb63276a045b516c561e4be61e1109e,esporte_lazer,56.0,332.0,2.0,350.0,27.0,10.0,16.0,2018-08-08 09:14:56,I
1bdfcb8320195a0fbab354ae99d95d91,utilidades_domesticas,43.0,192.0,3.0,150.0,16.0,6.0,11.0,2018-08-08 09:34:24,I
69e8f74916646e186145f5648840ea9e,ferramentas_jardim,45.0,1174.0,1.0,8950.0,60.0,32.0,28.0,2018-08-08 09:49:45,I
4b44730a7923e3c19eb67f1c8bfa1c39,malas_acessorios,39.0,357.0,3.0,550.0,32.0,42.0,12.0,2018-08-08 09:56:14,I
7634da152a4610f1595efa32f14722fc,perfumaria,42.0,480.0,1.0,200.0,16.0,10.0,15.0,2018-08-08 10:00:35,I
3d4e6c456d3ec15021dd8b42b9ce7ffc,esporte_lazer,55.0,1119.0,4.0,2150.0,50.0,30.0,30.0,2018-08-08 10:07:59,I
3fd5f09fc9d1c489bd94669464077ede,papelaria,47.0,198.0,2.0,50.0,24.0,7.0,14.0,2018-08-08 10:28:22,I
d689403366ea94295d3c38f630928568,relogios_presentes,34.0,375.0,1.0,115.0,17.0,9.0,11.0,2018-08-08 10:29:26,I
08820f7bf5d0df4247c9f790f94f376c,informatica_acessorios,59.0,375.0,1.0,850.0,32.0,16.0,16.0,2018-08-08 10:50:05,I
a142a106133a43bc55573a6a77be9d57,climatizacao,55.0,1081.0,1.0,300.0,20.0,5.0,16.0,2018-08-08 10:55:59,I
167b19e93baccb17916b9a6dd03264e7,eletronicos,57.0,2196.0,3.0,220.0,19.0,16.0,17.0,2018-08-08 11:14:31,I
1831eef8008d196ec59bba8f52a526b8,eletrodomesticos,50.0,172.0,1.0,450.0,20.0,13.0,15.0,2018-08-08 11:16:54,I
5ea241885816f6957dfaa9a8592c6b37,moveis_decoracao,48.0,1750.0,2.0,2550.0,105.0,3.0,70.0,2018-08-08 11:22:08,I
f2396540fbfac27b5117f0dbd6744b50,cama_mesa_banho,53.0,222.0,1.0,3600.0,40.0,20.0,40.0,2018-08-08 11:46:42,I
8ba4f2a4ae695d26e5626c1bf710975e,utilidades_domesticas,52.0,968.0,1.0,900.0,50.0,5.0,50.0,2018-08-08 11:55:41,I
