product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,AR_H_COMMIT_TIMESTAMP,OP
49955ea31be73ddf6fb6c2a5033dfcb2,relogios_presentes,55.0,697.0,1.0,538.0,23.0,12.0,15.0,2018-08-19 07:40:32,I
2885aad25d7d1963d3731a9a6ec86306,livros_tecnicos,26.0,562.0,1.0,250.0,40.0,2.0,12.0,2018-08-19 08:24:27,I
5eb9aa8db351127bf2212636cac6e0e7,beleza_saude,17.0,2409.0,1.0,475.0,16.0,14.0,11.0,2018-08-19 08:57:45,I
602bd303d85e0e535a0767b9f1d85f91,automotivo,38.0,3419.0,1.0,1650.0,32.0,22.0,11.0,2018-08-19 09:35:34,I
c323aa503973c298f05ba6787af50384,pet_shop,34.0,413.0,2.0,19200.0,85.0,10.0,72.0,2018-08-19 09:49:20,I
f541764c0e99f1a821dc9d5bb1143a88,beleza_saude,42.0,1091.0,1.0,275.0,25.0,20.0,25.0,2018-08-19 09:51:24,I
ed5726c8183554422f610ef95fa19744,beleza_saude,54.0,1018.0,1.0,363.0,20.0,19.0,19.0,2018-08-19 10:08:31,I
9ee8f71db966916c4bc13c3ede22c146,telefonia,55.0,679.0,3.0,150.0,17.0,8.0,11.0,2018-08-19 10:20:50,I
fb5c123fd5aba64397060623b857ff57,bebes,44.0,704.0,1.0,329.0,20.0,28.0,50.0,2018-08-19 10:30:35,I
be8fabd5f8a50dbb81c1f36499f077d8,cama_mesa_banho,56.0,516.0,1.0,6500.0,30.0,30.0,30.0,2018-08-19 11:28:18,I
ae8075d523c78e51b70c30ec84497683,esporte_lazer,51.0,1589.0,7.0,500.0,23.0,4.0,13.0,2018-08-19 11:28:23,I
a2f108447e5847c9edd533c37908bf01,construcao_ferramentas_iluminacao,55.0,360.0,2.0,300.0,20.0,20.0,20.0,2018-08-19 11:28:30,I
f2e84ab8eb8eaa7cddc82f2b0f4424d2,informatica_acessorios,51.0,727.0,1.0,450.0,18.0,16.0,17.0,2018-08-19 11:38:38,I
496e7805727644d3146f931ff28552f3,eletrodomesticos,58.0,160.0,1.0,3650.0,55.0,19.0,46.0,2018-08-19 11:50:07,I
375478581c97832540b9209722a32058,bebes,60.0,566.0,1.0,17600.0,65.0,36.0,45.0,2018-08-19 11:55:56,I
