customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,AR_H_COMMIT_TIMESTAMP,OP
0e1f1e73c7d0c1e639b2b56fae48cfa3,8ae1c90bc2d88b7414b2b011abe281c9,3585,sao paulo,SP,2018-08-16 00:03:02,I
280d4a1c6ddb67a1f8ad1262cfa9848b,462f8d38d1ca830befd60355240fbe39,26313,queimados,RJ,2018-08-16 00:12:40,I
0aa15dfb830d00667c3c7cd3cdd8b699,4f4061658a12c907deabcbfd79715788,4853,sao paulo,SP,2018-08-16 00:16:32,I
a8a46b431d3684f3692579dbd45dcc9d,4d6bd0eb9e942d7ecd71731ebc321e23,48905,juazeiro,BA,2018-08-16 00:16:34,I
b3f8d2940b0f088e5daaf83ceb11a8e7,d94ddb6d06280e9021c8e094a8cae712,5724,sao paulo,SP,2018-08-16 00:18:44,I
f7071de1c71624c2284315426ecbff2c,cb9b2734376e44264637ebd85ce7d961,6083,osasco,SP,2018-08-16 00:20:35,I
088748a6b4f6a4042e04da23b9b0940c,2dc76f1f9332f576c53931a0502784b9,21832,rio de janeiro,RJ,2018-08-16 00:24:41,I
78337577a7b3160393cf5f5e69f13d52,2dd1d99c3ff427b74f938c2daf370622,14760,ibitiuva,SP,2018-08-16 00:28:30,I
8f746bce396cf1dbdf7c8d7490860ed5,2b2896060944d2d39e46d833324116bb,1201,sao paulo,SP,2018-08-16 00:28:41,I
387456acd703ad6ba4deefd1eb8a65ac,2129a73438f9f87b1764c6b227a5edbe,4841,sao paulo,SP,2018-08-16 00:51:34,I
3b9c548b91a8ff14553a1eb8497cf431,cf88cd7b77756165a4f6841a4bdc152c,9341,maua,SP,2018-08-16 01:09:23,I
835856fd2134a5d6f63090a9d9845a98,103872c9789ad09742c6f03c1498b433,59150,parnamirim,RN,2018-08-16 01:11:21,I
db424deeea01535e91a89385177baff3,5f8799c5d506f14db36c321c7a462039,7170,guarulhos,SP,2018-08-16 01:11:45,I
163a680a8f1fe1a8eef1b0c40276bf64,27eecff5a6338f7c36c78ad05eacc575,87535,xambre,PR,2018-08-16 02:08:27,I
d1ec94f80186282546f865ed5db47170,7401e49287261fe0a312715de282eee8,13450,santa barbara d'oeste,SP,2018-08-16 02:32:18,I
5c4475298d8f13ef3f9ec7afeb13147f,6262e5cf1c84fd903d308e41989eb1a5,5283,sao paulo,SP,2018-08-16 04:16:42,I
39a3f99c51f59150cbd4d1dfb52603cb,1670e7eb21cb0b14319e9b6fd3aabb30,5083,sao paulo,SP,2018-08-16 05:22:18,I
