seller_id,seller_zip_code_prefix,seller_city,seller_state,AR_H_COMMIT_TIMESTAMP,OP
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,2017-05-05 16:12:29,I
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,2017-03-28 09:00:00,I
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,2018-07-30 12:20:10,I
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,2018-08-03 00:26:04,I
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,2017-11-14 12:04:09,I
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,2018-05-08 17:40:24,I
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,2017-02-04 18:51:41,I
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,2017-09-22 17:15:55,I
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,2018-06-19 11:51:55,I
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,2017-01-07 13:29:22,I
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,2018-02-07 22:52:02,I
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,2018-05-16 16:16:03,I
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,2017-01-18 10:55:55,I
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,2018-08-02 12:05:38,I
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,2018-04-02 10:44:37,I
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,2018-04-28 12:23:26,I
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,2017-07-25 01:53:48,I
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,2017-08-20 19:32:32,I
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,2017-10-06 16:05:51,I
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,2018-07-05 06:46:44,I
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,2017-10-12 19:42:09,I
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,2017-03-14 13:06:10,I
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,2016-10-08 10:55:44,I
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,2018-02-16 17:17:41,I
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,2017-05-29 19:02:29,I
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,2017-01-14 01:16:14,I
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,2018-03-28 15:49:07,I
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,2017-11-09 12:05:32,I
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,2018-01-09 23:49:14,I
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,2017-10-30 16:01:24,I
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,2017-05-21 11:56:58,I
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,2018-06-05 19:53:27,I
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,2018-02-02 00:54:15,I
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,2018-02-22 15:13:31,I
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,2017-08-22 20:06:39,I
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,2017-01-27 18:00:27,I
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,2018-07-28 23:32:46,I
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,2018-07-22 11:50:22,I
ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,2018-02-02 14:26:45,I
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,2017-08-05 18:56:35,I
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,2017-07-07 13:26:33,I
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF,2017-08-08 21:31:55,I
a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC,2017-10-11 10:15:04,I
5c030029b5916fed0986310385ec9009,88075,sao jose,SC,2018-06-13 11:43:43,I
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP,2017-11-10 13:49:38,I
c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS,2017-01-23 07:23:50,I
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG,2017-03-13 23:13:57,I
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG,2017-10-05 23:06:13,I
8759e7aedd644f487315e5860962f162,9251,santo andre,SP,2017-11-28 14:16:21,I
e546117ed9cafbc40239c0c78635c584,4705,sao paulo,SP,2018-04-23 17:07:27,I
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP,2017-10-15 20:06:58,I
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP,2017-07-11 23:14:57,I
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC,2017-11-27 20:25:14,I
41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP,2018-04-03 16:31:37,I
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ,2016-10-06 13:39:20,I
7d294cf9a6a69dc6a0c3e540fff0e039,88390,barra velha,SC,2018-05-06 20:37:58,I
c89cf7c468a48af70aada384e722f9e2,25730,petropolis,RJ,2017-06-07 16:38:50,I
b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,RS,2016-10-04 14:51:15,I
13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR,2018-01-03 20:20:26,I
cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,SP,2017-02-10 21:37:36,I
02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP,2017-06-18 18:04:34,I
c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP,2018-02-27 15:10:06,I
