product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,AR_H_COMMIT_TIMESTAMP,OP
e182a4a7b0d3ed72d987ffade7df87f4,utilidades_domesticas,60.0,518.0,1.0,500.0,16.0,30.0,40.0,2018-08-15 12:12:46,I
a396c58c1c3c3bc927aa57ed987a75ec,relogios_presentes,57.0,624.0,2.0,270.0,18.0,13.0,16.0,2018-08-15 12:13:18,I
49b9c5584a546562e3b954561980b48e,papelaria,59.0,473.0,1.0,400.0,24.0,10.0,17.0,2018-08-15 12:18:05,I
4a613da687465cbb56070936889199f8,utilidades_domesticas,60.0,355.0,4.0,875.0,29.0,24.0,25.0,2018-08-15 12:24:08,I
6db72cc3d861dbea370e6959aa850b8c,utilidades_domesticas,58.0,682.0,2.0,340.0,30.0,6.0,11.0,2018-08-15 13:03:37,I
c39344060401aa31219e340847e3c791,perfumaria,31.0,203.0,1.0,550.0,24.0,12.0,16.0,2018-08-15 14:01:43,I
3ddc79cbdf7e79ea75449765656c3b3e,cama_mesa_banho,49.0,359.0,1.0,1250.0,45.0,10.0,15.0,2018-08-15 14:11:19,I
20e52965ed6d9e498b87dd87d050afbd,informatica_acessorios,57.0,467.0,5.0,700.0,47.0,6.0,32.0,2018-08-15 14:18:13,I
c8e7c2ef329fcda4a233e7e2f8bb8b7d,utilidades_domesticas,58.0,1245.0,1.0,200.0,16.0,12.0,11.0,2018-08-15 14:29:08,I
186b6a12d98fb8471271f204a82a7937,construcao_ferramentas_construcao,33.0,505.0,1.0,100.0,20.0,20.0,20.0,2018-08-15 14:49:40,I
cc1829caca1897ee76144ef20a32330f,esporte_lazer,34.0,1297.0,8.0,7900.0,100.0,20.0,30.0,2018-08-15 14:50:52,I
74903af00140072f48c7da1cd4984f88,fashion_bolsas_e_acessorios,53.0,135.0,6.0,300.0,16.0,2.0,11.0,2018-08-15 14:55:06,I
55729c65a6d4638ba2d0fabc0ad9e571,esporte_lazer,57.0,670.0,4.0,886.0,26.0,18.0,19.0,2018-08-15 15:11:49,I
9224bdef49ae12098a4d76b8f54d8f07,cama_mesa_banho,46.0,684.0,1.0,1450.0,40.0,15.0,32.0,2018-08-15 15:12:00,I
a84e26c4cc7ea7884d3a81955a06cefc,papelaria,54.0,726.0,6.0,800.0,30.0,3.0,22.0,2018-08-15 15:12:34,I
25e531393ced00e48e0c790fb864f1bf,perfumaria,59.0,680.0,1.0,382.0,20.0,12.0,13.0,2018-08-15 15:39:22,I
3e767be391eb16817e11f752578e6c17,eletrodomesticos_2,59.0,507.0,1.0,14150.0,34.0,34.0,56.0,2018-08-15 15:52:47,I
cdb2ede3e6744ad7011a7305b95442a1,bebidas,32.0,1148.0,1.0,950.0,16.0,40.0,11.0,2018-08-15 16:08:01,I
310806337e8a62be35203aa25d302b08,bebes,53.0,2411.0,2.0,30000.0,55.0,67.0,46.0,2018-08-15 16:12:57,I
5c134d92a99c77b568ae488b28a04c45,construcao_ferramentas_seguranca,59.0,1812.0,4.0,200.0,16.0,16.0,16.0,2018-08-15 16:30:22,I
4033dc4f8f073776b3048ba040d67697,perfumaria,47.0,416.0,1.0,90.0,16.0,9.0,18.0,2018-08-15 16:47:53,I
69c3a9ec3f1094ad11505df27ddad569,beleza_saude,53.0,713.0,2.0,150.0,20.0,10.0,20.0,2018-08-15 16:54:26,I
afb0d399cb1dec68de437eec41c94fad,telefonia,58.0,733.0,6.0,100.0,18.0,6.0,14.0,2018-08-15 16:55:27,I
3e00f726a0e1eab8f2ae5137bf9bf54a,moveis_cozinha_area_de_servico_jantar_e_jardim,32.0,249.0,1.0,9350.0,28.0,33.0,28.0,2018-08-15 16:58:08,I
9fe67dbcc33795d7fafe354d7c850115,cama_mesa_banho,36.0,558.0,1.0,850.0,25.0,16.0,23.0,2018-08-15 16:58:08,I
86a6c57cf9b57ed5112c7c4262cb97dd,perfumaria,32.0,1088.0,1.0,300.0,20.0,20.0,20.0,2018-08-15 16:58:47,I
0cf5798cf0a69ca39b286d63dd5a9501,esporte_lazer,39.0,1026.0,1.0,15200.0,95.0,30.0,55.0,2018-08-15 17:00:49,I
e673e90efa65a5409ff4196c038bb5af,cama_mesa_banho,53.0,528.0,1.0,0.0,30.0,25.0,30.0,2018-08-15 17:13:07,I
a17f13897e9a6dd83b91944452d54daf,papelaria,55.0,616.0,1.0,900.0,16.0,6.0,11.0,2018-08-15 17:14:23,I
a4ae122069f05f8ac775375a4f00a907,telefonia,42.0,318.0,1.0,100.0,19.0,3.0,11.0,2018-08-15 17:29:23,I
1caf2267e1334b93a9220b1a26db262d,construcao_ferramentas_construcao,39.0,2445.0,1.0,650.0,26.0,17.0,17.0,2018-08-15 17:34:38,I
444ab88b25c5d6d2310be80ab1d60fad,consoles_games,49.0,682.0,2.0,550.0,17.0,8.0,17.0,2018-08-15 17:35:07,I
7f448bfa91ff73554408e716ec1368db,pet_shop,46.0,613.0,1.0,3550.0,48.0,12.0,24.0,2018-08-15 17:47:48,I
b7f66bbeb513b61097de54949631a759,cama_mesa_banho,58.0,2063.0,2.0,1150.0,43.0,8.0,33.0,2018-08-15 17:48:29,I
208c1210f363c82510f5609d5feb0341,pet_shop,59.0,530.0,2.0,450.0,27.0,9.0,26.0,2018-08-15 17:49:43,I
34aca5f4e567c3b675a3e43a17e0b0e5,bebes,57.0,537.0,2.0,13450.0,60.0,32.0,42.0,2018-08-15 17:51:11,I
