review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,AR_H_COMMIT_TIMESTAMP,OP
05745db50eb315fa854ed31821a01891,a1ad76f125118edcc2ba7035e9a59c7c,5,,,2018-08-14,2018-08-17 09:42:54,2018-08-14,I
7af900fd225cb4df807f15dfd2a6d78e,ecca6d9e70db69a20c2cca23b23fc8aa,5,Ótimo produto ,"Relógio muito bonito, chegou antes do prazo, bem embalado, bom custo benefício",2018-08-14,2018-08-15 20:10:25,2018-08-14,I
3b154c210f1a1abaec031cd605b8c1f5,2b4c98424c04c927d4f10fd35a3e3558,2,,"Achei Q desta vez,o produto deixou a desejar,muito fraco demas",2018-08-14,2018-08-14 21:31:53,2018-08-14,I
f874d06f3076ba1235364c619b36d1fb,3b3725fa3dfc009ca1e6ebc503a0bd16,5,,PRODUTO DE BOA QUALIDADE E ENTREGUE DENTRO DO PRAZO MARCADO. ,2018-08-14,2018-08-14 23:59:23,2018-08-14,I
d9bb420cf30481fbc0093cbea4bd0417,b058d10cd1c5819182e6071160eb23a0,5,otimo,"o investimento não e caro pelo beneficio, ",2018-08-14,2018-08-20 10:20:28,2018-08-14,I
88f1e6485cf67624d3d5937b872cac5d,5ab34a3449b54e0fff6d7ba20781a655,5,Positivo,Muito bom,2018-08-14,2018-08-14 23:43:18,2018-08-14,I
0e2e916ab3c258e2908c9fc37743f497,f6f3648ab3e140b29823bbdb84a34455,2,"Infelizmente,trava muito!",No quesito entrega vocês estão de parabéns. Chegou muito antes do previsto. Pena que o tablet trava muito e o sistema usa muito do espaço interno que já não é lá essas coisas.,2018-08-14,2018-08-14 14:13:11,2018-08-14,I
bf0ab4c039d6b05f116d3b9a97344e09,a37e262a26000281d0ade3b4eb1ce1e6,5,,,2018-08-14,2018-08-15 10:33:03,2018-08-14,I
f36cdb0e4ea9e1e68c623449dcab34d9,15c4d15a595aaff02d4de63093a4b57c,5,,,2018-08-14,2018-08-14 18:48:57,2018-08-14,I
eec6f78441ddf3e134676eb2446fd73a,c97b6271a445cec849420383547b34da,5,,,2018-08-14,2018-08-15 10:17:53,2018-08-14,I
2f6efbc33f50e96525f0b1522d27e64a,8051026f0cea5b93df6bf42cdf1aaa74,4,,,2018-08-14,2018-08-17 19:33:34,2018-08-14,I
5e1ac9c9d8bd7f6aeb6a8eafceda8650,1221112b1c9563dc03d5a32b6078a962,2,,,2018-08-14,2018-08-15 12:57:52,2018-08-14,I
741fbf366efdf09e3701f0350cb7b978,6563b375a3fad2d240225b16ee246f68,4,Recomendo,,2018-08-14,2018-08-20 16:35:39,2018-08-14,I
7bf8cbaa4a77a3dec3e1a56741d94389,34fd3e758f03c7fe6169308d0fa11582,5,ótimo ,,2018-08-14,2018-08-15 14:15:04,2018-08-14,I
036963bd2c4b9a231d2a7079bbba47a8,56c342adb8f074b20da098539a429d68,1,ruim,nao recebi o relogio de parede,2018-08-14,2018-08-14 21:58:24,2018-08-14,I
e83150d2f778228ed0505204a03761df,283bf5d2f306422175c079231da015f7,5,Gostei ,,2018-08-14,2018-08-14 20:08:06,2018-08-14,I
952c07ce5979215bf85f17b9a7d78556,440a666da55232dbd02bb270c7ac7d8c,5,,,2018-08-14,2018-08-20 11:02:57,2018-08-14,I
2a309ee5f2883689b12e66706f26238b,2f469266d0a5336ac76d2068ef1c9f2f,5,,,2018-08-14,2018-08-15 13:18:25,2018-08-14,I
