order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,AR_H_COMMIT_TIMESTAMP,OP
e57c5c4eb04e271f8cb3de347b910287,4490fd213fb26eb6d996653707721726,delivered,2018-07-31 15:42:30,2018-07-31 17:00:17,2018-07-31 15:50:00,2018-08-08 00:08:45,2018-08-17,2018-08-08 00:08:45,U
20febe29f23cdee32db9532860db7341,9c242b314a3640d13a97aac4e172f966,delivered,2018-07-27 23:38:29,2018-07-31 03:55:12,2018-08-01 13:51:00,2018-08-08 00:08:46,2018-08-15,2018-08-08 00:08:46,U
652dd1e43c57c5f82622cd0d4ec1c376,7dbed95882f0d8bdb7279f822f09bd96,delivered,2018-08-01 10:52:29,2018-08-02 05:05:17,2018-08-02 12:09:00,2018-08-08 00:12:26,2018-08-16,2018-08-08 00:12:26,U
d225169bf3bcbe1def3db868a96d69b4,7d85ef5a8f64781a9b17a811b88e3175,delivered,2018-07-30 22:37:18,2018-08-01 03:31:45,2018-08-02 13:33:00,2018-08-08 00:16:38,2018-08-16,2018-08-08 00:16:38,U
161dded9453a3c4d5b6fd484128249a3,90452d352349254ec634a77c0730f087,delivered,2018-07-25 16:21:06,2018-07-26 09:04:38,2018-07-26 12:03:00,2018-08-08 00:17:52,2018-08-31,2018-08-08 00:17:52,U
6686e93efe206ed03777981a67e8c1db,b9df1513dfa3cade0bd5c73521d83608,delivered,2018-07-31 22:43:22,2018-08-01 22:35:17,2018-08-02 12:35:00,2018-08-08 00:22:35,2018-08-20,2018-08-08 00:22:35,U
95b77d025d47143b0ac25edd12536293,5dafa7c6ef92319d160eaf859fda0aa6,delivered,2018-07-30 14:23:40,2018-07-30 16:05:06,2018-07-31 16:20:00,2018-08-08 00:29:51,2018-08-20,2018-08-08 00:29:51,U
b1f84046464711e8064cd70d5232d104,1fe28ea440ef6c1bc8c0628dd6de9cf2,delivered,2018-08-02 19:56:42,2018-08-02 20:31:02,2018-08-03 11:58:00,2018-08-08 00:32:29,2018-08-16,2018-08-08 00:32:29,U
1bd518c15ee16570e9b8c8e29fde9ab6,002905287304e28c0218389269b4759b,delivered,2018-07-22 17:13:46,2018-07-24 11:33:00,2018-07-31 09:25:00,2018-08-08 00:32:44,2018-08-17,2018-08-08 00:32:44,U
7c36932e3667e570c35752d13bbca443,376a23a2a549f521ceb336b0230b00eb,delivered,2018-07-30 18:54:21,2018-07-31 18:31:07,2018-08-02 15:41:00,2018-08-08 00:40:58,2018-08-28,2018-08-08 00:40:58,U
fe1a5360c2abc136a4ff63ddb09a33b4,878ea9106a20b18fe743a63aabe69853,delivered,2018-07-29 16:19:32,2018-08-01 16:31:44,2018-07-30 15:34:00,2018-08-08 00:42:42,2018-08-08,2018-08-08 00:42:42,U
5a6566ca1aa7d313e6a34e0443e32ba1,cfd55a1ef8c0aae89c06c519224ef21a,delivered,2018-07-25 16:21:39,2018-07-26 03:25:14,2018-07-26 12:21:00,2018-08-08 00:46:39,2018-08-17,2018-08-08 00:46:39,U
076d1555fb53a89b0ef4d529e527a0f6,f08306b95370e8d5f0d97b71229284b6,delivered,2018-07-30 10:04:21,2018-08-01 04:35:22,2018-08-02 15:04:00,2018-08-08 00:46:43,2018-08-14,2018-08-08 00:46:43,U
913ed16681197337e68e936fc28b8370,42a17b496d860f35546c295e70f516a7,delivered,2018-08-03 00:00:21,2018-08-03 00:10:34,2018-08-03 11:38:00,2018-08-08 00:48:42,2018-08-16,2018-08-08 00:48:42,U
aa834e164d26bde6b0890bb9e70fbf9d,0d3e3695407baeee3c2f78543b1def5a,delivered,2018-08-01 19:07:44,2018-08-01 19:23:54,2018-08-02 13:38:00,2018-08-08 00:49:53,2018-08-22,2018-08-08 00:49:53,U
b33010cda5cc0e6573b4eecafeb14082,21a23cc024883e2a7c9dbe7a14a7eccc,delivered,2018-07-30 17:57:51,2018-07-30 19:32:19,2018-08-03 15:14:00,2018-08-08 00:51:56,2018-08-17,2018-08-08 00:51:56,U
2b6bf03cc135cbab42df6a1c435d9319,5ce1196b90dff5896ea357e261224cbe,delivered,2018-07-28 00:12:51,2018-07-28 00:25:15,2018-07-30 12:24:00,2018-08-08 00:52:08,2018-08-17,2018-08-08 00:52:08,U
bc9c2fb123725ad0d99fb76888543245,cfdde87e6da2810b6f71c86ca4a6647d,delivered,2018-06-13 15:04:36,2018-06-14 10:20:05,2018-08-02 14:16:00,2018-08-08 00:56:38,2018-07-24,2018-08-08 00:56:38,U
e811c789fcb20fe547fb9d955777ce2c,c9ce37a6d41d709a2b75e06238b5c93a,delivered,2018-08-05 18:01:52,2018-08-05 18:15:16,2018-08-06 13:21:00,2018-08-08 00:58:49,2018-08-09,2018-08-08 00:58:49,U
bb8871a92af73ddadeac0531a0787131,ce757220d9f01ba4887f6bf76ced6a1c,delivered,2018-07-31 09:16:57,2018-08-01 16:31:37,2018-08-01 15:03:00,2018-08-08 01:03:27,2018-08-22,2018-08-08 01:03:27,U
8da23e61aecf8f2c23c49d53c6d16d40,2b3d94ad32203f90d7f85edb7a199bc6,delivered,2018-07-31 00:36:04,2018-08-01 03:31:59,2018-08-01 09:04:00,2018-08-08 01:03:29,2018-08-15,2018-08-08 01:03:29,U
6df963d6ce20c72cb119e8090f27c011,d890ef8af396d3cd28543e83bf7677a5,delivered,2018-07-27 23:07:33,2018-07-31 04:05:53,2018-07-31 10:57:00,2018-08-08 01:03:35,2018-08-23,2018-08-08 01:03:35,U
48b126710532d052800a89a6131d40f3,b9311705b7ea9001f8f6f501b854e944,delivered,2018-07-29 19:33:34,2018-07-30 20:30:53,2018-07-31 13:54:00,2018-08-08 01:06:45,2018-08-14,2018-08-08 01:06:45,U
15a5c3e66605b949f4fc77d747f8003d,53ed1b71c8f23d10c4a53e23d922bf75,delivered,2018-08-01 19:50:09,2018-08-02 19:45:21,2018-08-03 10:03:00,2018-08-08 01:08:32,2018-08-22,2018-08-08 01:08:32,U
ac17fcdce65beed9ddc7473ff8150528,4220690060f453982ccc4f2269401a81,delivered,2018-07-27 21:49:38,2018-07-28 15:50:10,2018-07-30 14:06:00,2018-08-08 01:11:18,2018-08-01,2018-08-08 01:11:18,U
bb410325795fc7a944df598360cf5f08,0449d1b1afc5212a6805aa3b6d84e049,delivered,2018-08-02 15:29:13,2018-08-02 15:45:12,2018-08-06 13:09:00,2018-08-08 01:26:42,2018-08-10,2018-08-08 01:26:42,U
cb8ac0a66ab9381703d4a2c473bba526,3ea7697cb679588274ce6d851dec2178,delivered,2018-07-31 09:53:18,2018-07-31 10:40:20,2018-08-03 14:25:00,2018-08-08 01:32:05,2018-08-07,2018-08-08 01:32:05,U
b40657a8b73e674b61107a06e46b6f8d,1475ba146afcb53f12a49bb3e38fb444,delivered,2018-08-02 21:11:41,2018-08-02 22:10:23,2018-08-06 14:15:00,2018-08-08 01:46:48,2018-08-07,2018-08-08 01:46:48,U
db18e1e78435519ff49eae6ada66f29c,0776b4f6e66409776cd39bf2ad45702e,delivered,2018-07-29 18:12:08,2018-07-29 18:25:14,2018-07-31 15:02:00,2018-08-08 01:48:39,2018-08-15,2018-08-08 01:48:39,U
703ef7c6795e0ee91cff038a9a81abb5,2a7157032d44a7a8d9921d7eb66c4f76,delivered,2018-08-01 13:03:14,2018-08-01 13:40:17,2018-08-03 14:40:00,2018-08-08 02:04:20,2018-08-13,2018-08-08 02:04:20,U
86386c3dd74a55831068a41fc4fc1bec,64071b76b477a3abfeee800af096db82,delivered,2018-07-31 14:47:55,2018-07-31 15:44:25,2018-08-02 08:01:00,2018-08-08 02:15:42,2018-08-13,2018-08-08 02:15:42,U
16988d29fc53e813b156b33c0eb39b1d,95d076a10eb7507faeca1121d0a88551,delivered,2018-08-03 13:39:16,2018-08-03 13:50:16,2018-08-03 15:44:00,2018-08-08 03:12:41,2018-08-13,2018-08-08 03:12:41,U
bf806b8caac4194e3f3b600656456384,82c9ee00043a08853ffa97cf3cc9b289,delivered,2018-07-22 13:03:37,2018-07-23 11:31:25,2018-07-23 13:49:00,2018-08-08 03:14:46,2018-08-14,2018-08-08 03:14:46,U
d97ceab969b84967a5c136683ab0625e,0ad97367914ab84e094499c86ff0057f,delivered,2018-07-18 19:35:02,2018-07-19 19:30:12,2018-07-30 14:19:00,2018-08-08 04:31:54,2018-08-15,2018-08-08 04:31:54,U
e4992b3b826ff19edba39e9a4d9dae26,7ac99a97fd540a8add7900eec14ecc2b,delivered,2018-07-18 21:37:45,2018-07-18 21:50:27,2018-07-25 12:20:00,2018-08-08 05:46:54,2018-08-30,2018-08-08 05:46:54,U
