order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,AR_H_COMMIT_TIMESTAMP,OP
7a28faee4e4959f358d2fdbe66e22107,1,5f416bfe77190b2f1c9de649d926e56a,7f40d06aa0b5f1aa4f41af8c0480e2ef,2018-08-20 22:55:25,244.99,10.47,2018-08-14 22:43:55,I
d2651bbfae1f2a0814488eea7ff6165d,1,55782cb82e0efe052da0a3da237da3b2,c003204e1ab016dfa150abc119207b24,2018-08-16 23:04:05,166.9,27.47,2018-08-14 22:48:48,I
8f0ece4530d9684c0412c31486a5aee4,1,1078e04ece7f1498a5ea393bf9c4eb98,7040e82f899a04d1b434b795a43b4617,2018-08-20 23:04:02,24.9,19.99,2018-08-14 22:48:49,I
1389d3b1fab26d87e40c382d11a8ac3c,1,06edb72f1e0c64b14c5b79353f7abea3,391fc6631aebcf3004804e51b40bcf1e,2018-08-20 23:05:22,38.79,18.37,2018-08-14 22:49:18,I
d77f5a013b0d47e99197422a47b3b139,1,568c923625669145cc9a644856fccd14,3c487ae8f8d7542beff5788e2e0aea83,2018-08-20 23:04:14,199.9,18.33,2018-08-14 22:50:35,I
b8e11074d7fd4b6123ebcc4af964381c,1,2bd9b51a9ab079e095aca987845d3266,81f89e42267213cb94da7ddc301651da,2018-08-22 03:35:22,75.0,13.19,2018-08-14 22:51:23,I
def50c71a1a53113fb9d1ad68ee34e4a,1,d3153ef55a46de1972249b0a044c5bd7,f46490624488d3ff7ce78613913a7711,2018-08-21 23:05:17,120.49,19.75,2018-08-14 22:51:45,I
2b161ac439724fda87d03abf890234b5,1,2bd9b51a9ab079e095aca987845d3266,81f89e42267213cb94da7ddc301651da,2018-08-21 23:04:03,75.0,18.63,2018-08-14 22:53:03,I
9696c06c5b4dacf79ad4fc897b1aa93b,1,1975ce374d56d707bd8b88065779de72,b499c00f28f4b7069ff6550af8c1348a,2018-08-16 23:10:31,139.99,17.25,2018-08-14 22:58:58,I
677c865b89aa97e7dbeb4bfbb50bbcfd,1,e2bab04d6a471ed7a3629fbe2a64b55a,beadbee30901a7f61d031b6b686095ad,2018-08-30 23:24:13,85.0,7.86,2018-08-14 23:08:33,I
75e3a145a842715ed463a3a4ca34e489,1,08834f7365a6bc07d7049b7f4e95f8e8,4bfc7a4a1cf8d4d2121c27422d9e50b5,2018-08-20 23:25:28,139.0,25.32,2018-08-14 23:12:54,I
48d5b6816e1f11f1272000b4af1fd7ed,1,6a56304794f91b7996022b7ce5337371,b9ec22de23f18567de0e09d776ca0309,2018-08-20 23:30:21,141.99,20.94,2018-08-14 23:20:29,I
5a6cd6b1857e91f2e14f76af61a7ec07,1,8da584c8aff7ec074bbc0c8d68713bc9,fa1c13f2614d7b5c4749cbc52fecda94,2018-08-19 23:31:35,368.8,11.33,2018-08-14 23:20:35,I
256c2127e05b924a7cbf69f95e3c4830,1,542a646898298499b45840efc15775e4,7d76b645482be4a332374e8223836592,2018-08-24 03:24:07,17.49,7.39,2018-08-14 23:20:59,I
65f8a599904103180833575eb6a08702,1,c710d4f0236009b5f3091aa6ccdc4760,1cbd32d00d01bb8087a5eb088612fd9c,2018-08-21 23:31:27,56.58,23.12,2018-08-14 23:21:54,I
6f5287c7bb4cef1435b9666c23c54f9e,1,679c97b6819e657c506237438cacf60f,fa1c13f2614d7b5c4749cbc52fecda94,2018-08-19 23:31:30,229.8,8.87,2018-08-14 23:22:18,I
da8831dfbb89ea6b128840224899b348,1,ceb9200bc33732558224476d75815c32,cbf09e831b0c11f6f23ffb51004db972,2018-08-16 23:30:20,53.9,11.4,2018-08-14 23:22:32,I
24df3585323f6a191abb565d1706daf2,1,d9fcf1be6830bf510f03d9e6c979e4df,058cb5aeb36d7c0fcae20fc85d5e0a59,2018-08-21 23:31:50,148.5,54.32,2018-08-14 23:23:38,I
6ee453b121f65674cd0525457f985513,1,90aaf7f993470e411207adabf5b998b6,1fe5540d7c1c37a595fefbacd5570d9e,2018-08-22 04:35:08,189.0,38.23,2018-08-14 23:26:59,I
3adb141ba4bd69dd7fe8d3fb733c6b74,1,d3e87f5919c07582b6b4ead0f7eb15c0,4a3ca9315b744ce9f8e9374361493884,2018-08-20 03:05:11,38.9,19.46,2018-08-14 23:29:21,I
760209837cc5c577075aeb32eb2f219f,1,349ce46a0e2e20054aa9d80c48af8816,d6b1ce66b035a475f00c017792ff9769,2018-08-19 23:50:15,169.99,23.99,2018-08-14 23:38:02,I
24c6c83e90a996ebc2ef245089006910,1,e383490cecec9ff01e02a193a8f72663,6879c4d287a8dd06b11f54ea8f78e4da,2018-08-20 00:10:22,58.9,23.21,2018-08-14 23:53:56,I
