order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,AR_H_COMMIT_TIMESTAMP,OP
fb2f2200a3b712539e9eb91ef5c7e1cf,1,634256dbcd184b3757ffd7632c9fe52a,42b729f859728f5079499127a9c2ef37,2018-08-08 06:24:22,27.9,7.46,2018-08-06 06:04:48,I
bb4a9be7985d105a189b15022bcc7120,1,bb42f37fc3d9130e4a4339d24a47dd7c,da8622b14eb17ae2831f4ac5b9dab84a,2018-08-08 06:35:10,44.9,8.47,2018-08-06 06:23:06,I
7a36ddcacbdd80a7dd8771aa4c6e465e,1,7a49adf051c1e6fc5b639a98d17756f0,a8739afb32aaa45e01815ca76f76f54b,2018-08-09 06:50:13,25.32,18.28,2018-08-06 06:42:46,I
fd2abbf4e0f632ba709f0059c02da633,1,89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,2018-08-09 04:10:16,28.99,7.46,2018-08-06 07:34:57,I
4628d3d8311acc92810202b9a41b3dad,1,31b5755dd3e583e7c227a935657a818f,8d956fec2e4337affcb520f56fd8cbfd,2018-08-08 07:50:11,80.3,7.82,2018-08-06 07:41:37,I
495df6b807cb718b99cf24a4609fd323,1,b55d740a9c9a5e4b9d681828a82d28bc,34056b8b55c1775a22af2331670a799c,2018-08-09 08:35:16,64.8,14.03,2018-08-06 08:20:59,I
675696464e3f1ec45c04dc5b171b2ed4,1,5c2bb11cf2149bd4d9fffcc1246458c3,dbc22125167c298ef99da25668e1011f,2018-08-08 09:04:22,98.9,14.99,2018-08-06 08:32:54,I
a147b97f47abbdb02f67ea00da442cd8,1,b05ec8d9cabec69e637318ebba813a09,cc63f0dd2acba93ffed4fe9f8e0321fa,2018-08-09 08:55:23,126.99,18.02,2018-08-06 08:44:23,I
761de39b98af23c2f3b771461e2c5e2c,1,fe077ec80df6b4ee60bb4498d5ab1962,87142160b41353c4e5fca2360caf6f92,2018-08-08 09:04:29,135.0,17.88,2018-08-06 08:44:24,I
61a23849dae9124f254660f6c968fc37,1,3d4784f9a07ca5de370c86800589c860,c826c40d7b19f62a09e2d7c5e7295ee2,2018-08-08 09:04:34,97.77,15.78,2018-08-06 08:44:44,I
19f52cca1f9f963eb3275ad1a2033c0d,1,31e085df58ad2bb752bfbabd1972197c,ea8482cd71df3c1969d7b9473ff13abc,2018-08-08 09:10:11,27.99,7.46,2018-08-06 08:58:00,I
c07e1447e2887a9588ca8fbbe9d3c549,1,9f4923c125aadccb0e99914c96c8829d,ea8482cd71df3c1969d7b9473ff13abc,2018-08-08 09:10:14,27.99,18.3,2018-08-06 08:58:30,I
f709f3fec102226ab1dce1018209b7ff,1,e7cc48a9daff5436f63d3aad9426f28b,53243585a1d6dc2643021fd1853d8905,2018-08-10 09:10:23,170.0,21.46,2018-08-06 08:58:54,I
