customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,AR_H_COMMIT_TIMESTAMP,OP
4a958cac8a69ccf43953b9309bf8b762,486ffc689e774a45f98f9a10f369a65d,13031,campinas,SP,2018-08-14 00:02:49,I
924a7950479b075b9605579a24456054,11cfd70926d42d92ea668b4abd732abf,4084,sao paulo,SP,2018-08-14 00:07:41,I
d483bba64e114461269d13a1cd94606e,39f75ba50cc717fb52547486e7dbe6ba,28300,itaperuna,RJ,2018-08-14 00:08:30,I
c9be31eee5d42b016032f115e6640689,753e0db552dae3b85fa02153705d95cf,4750,sao paulo,SP,2018-08-14 00:08:35,I
a28de4ae5aaa106861049eaa591b8418,2c3d9dc1646eb2e82c1586c5786b9e2f,78510,itauba,MT,2018-08-14 00:12:36,I
4fe9a071f9509b1fb624febda3938108,54055e35c875ba58822a99117549d2dd,2021,sao paulo,SP,2018-08-14 00:13:46,I
36bb86967d3a46938a1082eb16fe38d3,6f86c771e8dd0d90537c6aee67d4e2b9,5185,sao paulo,SP,2018-08-14 00:14:34,I
99383db9c2af4cb2ad7503ec2f552c42,df87b0cb0fe48df0d006e85ad82c2335,17519,marilia,SP,2018-08-14 00:16:33,I
1098e13c3ac2b7d8b711ca1618cf31e4,71fa3fe2a53fdf039b0dfb07332be412,21710,rio de janeiro,RJ,2018-08-14 00:16:47,I
f1e32fb88dcd5796930da1b8d162494c,b6a6794b5bbb57f333b1bfbffd5f4541,22290,rio de janeiro,RJ,2018-08-14 00:22:48,I
563b025cf608c075c839476181971894,a724576ad7a63c339210b9e6d6d5c0e5,13468,americana,SP,2018-08-14 00:26:29,I
da2fbad9b2235c67c9bc7c7a274ee389,279bd194cc9790cf88fbd6442e3cf716,39640,berilo,MG,2018-08-14 00:28:41,I
52dd2d8a2a8d602034af4d803ac06425,decc6bfd467170246a0e99a582d4b1c8,90560,porto alegre,RS,2018-08-14 00:34:33,I
